waveform	Source signal	
t0	2024/10/13  09:39:09.970031	
delta t	5.000000E-5	

time[0]	Source signal
2024/10/13  09:39:09.970031	1.969007E+0
2024/10/13  09:39:09.970081	1.969007E+0
2024/10/13  09:39:09.970131	2.054409E+0
2024/10/13  09:39:09.970181	2.054409E+0
2024/10/13  09:39:09.970231	2.054409E+0
2024/10/13  09:39:09.970281	2.054409E+0
2024/10/13  09:39:09.970331	1.969007E+0
2024/10/13  09:39:09.970381	2.054409E+0
2024/10/13  09:39:09.970431	2.054409E+0
2024/10/13  09:39:09.970481	1.969007E+0
2024/10/13  09:39:09.970531	1.969007E+0
2024/10/13  09:39:09.970581	1.969007E+0
2024/10/13  09:39:09.970631	1.969007E+0
2024/10/13  09:39:09.970681	1.969007E+0
2024/10/13  09:39:09.970731	1.969007E+0
2024/10/13  09:39:09.970781	1.883605E+0
2024/10/13  09:39:09.970831	1.883605E+0
2024/10/13  09:39:09.970881	1.883605E+0
2024/10/13  09:39:09.970931	1.883605E+0
2024/10/13  09:39:09.970981	1.712801E+0
2024/10/13  09:39:09.971031	1.712801E+0
2024/10/13  09:39:09.971081	1.712801E+0
2024/10/13  09:39:09.971131	1.712801E+0
2024/10/13  09:39:09.971181	1.627399E+0
2024/10/13  09:39:09.971231	1.627399E+0
2024/10/13  09:39:09.971281	1.541997E+0
2024/10/13  09:39:09.971331	1.541997E+0
2024/10/13  09:39:09.971381	1.456595E+0
2024/10/13  09:39:09.971431	1.456595E+0
2024/10/13  09:39:09.971481	1.371193E+0
2024/10/13  09:39:09.971531	1.371193E+0
2024/10/13  09:39:09.971581	1.285791E+0
2024/10/13  09:39:09.971631	1.285791E+0
2024/10/13  09:39:09.971681	1.200389E+0
2024/10/13  09:39:09.971731	1.200389E+0
2024/10/13  09:39:09.971781	1.029585E+0
2024/10/13  09:39:09.971831	1.029585E+0
2024/10/13  09:39:09.971881	1.029585E+0
2024/10/13  09:39:09.971931	9.441829E-1
2024/10/13  09:39:09.971981	8.587809E-1
2024/10/13  09:39:09.972031	8.587809E-1
2024/10/13  09:39:09.972081	6.879769E-1
2024/10/13  09:39:09.972131	6.879769E-1
2024/10/13  09:39:09.972181	6.025749E-1
2024/10/13  09:39:09.972231	6.025749E-1
2024/10/13  09:39:09.972281	5.171729E-1
2024/10/13  09:39:09.972331	5.171729E-1
2024/10/13  09:39:09.972381	3.463689E-1
2024/10/13  09:39:09.972431	3.463689E-1
2024/10/13  09:39:09.972481	2.609669E-1
2024/10/13  09:39:09.972531	2.609669E-1
2024/10/13  09:39:09.972581	1.755649E-1
2024/10/13  09:39:09.972631	9.016293E-2
2024/10/13  09:39:09.972681	4.760937E-3
2024/10/13  09:39:09.972731	4.760937E-3
2024/10/13  09:39:09.972781	-8.064106E-2
2024/10/13  09:39:09.972831	-8.064106E-2
2024/10/13  09:39:09.972881	-1.660431E-1
2024/10/13  09:39:09.972931	-2.514451E-1
2024/10/13  09:39:09.972981	-4.222490E-1
2024/10/13  09:39:09.973031	-4.222490E-1
2024/10/13  09:39:09.973081	-5.076510E-1
2024/10/13  09:39:09.973131	-5.076510E-1
2024/10/13  09:39:09.973181	-6.784550E-1
2024/10/13  09:39:09.973231	-5.930530E-1
2024/10/13  09:39:09.973281	-7.638570E-1
2024/10/13  09:39:09.973331	-6.784550E-1
2024/10/13  09:39:09.973381	-8.492590E-1
2024/10/13  09:39:09.973431	-8.492590E-1
2024/10/13  09:39:09.973481	-1.020063E+0
2024/10/13  09:39:09.973531	-1.020063E+0
2024/10/13  09:39:09.973581	-1.020063E+0
2024/10/13  09:39:09.973631	-1.105465E+0
2024/10/13  09:39:09.973681	-1.190867E+0
2024/10/13  09:39:09.973731	-1.105465E+0
2024/10/13  09:39:09.973781	-1.276269E+0
2024/10/13  09:39:09.973831	-1.276269E+0
2024/10/13  09:39:09.973881	-1.361671E+0
2024/10/13  09:39:09.973931	-1.361671E+0
