waveform	Ch0	
t0	2024/10/13  09:33:48.410832	
delta t	2.000000E-5	

time[0]	Ch0
2024/10/13  09:33:48.410832	-1.934926E+0
2024/10/13  09:33:48.410852	-1.892180E+0
2024/10/13  09:33:48.410872	-1.849434E+0
2024/10/13  09:33:48.410892	-1.849434E+0
2024/10/13  09:33:48.410912	-1.892180E+0
2024/10/13  09:33:48.410932	-1.849434E+0
2024/10/13  09:33:48.410952	-1.849434E+0
2024/10/13  09:33:48.410972	-1.849434E+0
2024/10/13  09:33:48.410992	-1.849434E+0
2024/10/13  09:33:48.411012	-1.849434E+0
2024/10/13  09:33:48.411032	-1.849434E+0
2024/10/13  09:33:48.411052	-1.806688E+0
2024/10/13  09:33:48.411072	-1.806688E+0
2024/10/13  09:33:48.411092	-1.806688E+0
2024/10/13  09:33:48.411112	-1.806688E+0
2024/10/13  09:33:48.411132	-1.763941E+0
2024/10/13  09:33:48.411152	-1.721195E+0
2024/10/13  09:33:48.411172	-1.721195E+0
2024/10/13  09:33:48.411192	-1.721195E+0
2024/10/13  09:33:48.411212	-1.721195E+0
2024/10/13  09:33:48.411232	-1.721195E+0
2024/10/13  09:33:48.411252	-1.678449E+0
2024/10/13  09:33:48.411272	-1.678449E+0
2024/10/13  09:33:48.411292	-1.678449E+0
2024/10/13  09:33:48.411312	-1.678449E+0
2024/10/13  09:33:48.411332	-1.678449E+0
2024/10/13  09:33:48.411352	-1.592956E+0
2024/10/13  09:33:48.411372	-1.592956E+0
2024/10/13  09:33:48.411392	-1.592956E+0
2024/10/13  09:33:48.411412	-1.592956E+0
2024/10/13  09:33:48.411432	-1.592956E+0
2024/10/13  09:33:48.411452	-1.507463E+0
2024/10/13  09:33:48.411472	-1.507463E+0
2024/10/13  09:33:48.411492	-1.507463E+0
2024/10/13  09:33:48.411512	-1.507463E+0
2024/10/13  09:33:48.411532	-1.507463E+0
2024/10/13  09:33:48.411552	-1.464717E+0
2024/10/13  09:33:48.411572	-1.464717E+0
2024/10/13  09:33:48.411592	-1.464717E+0
2024/10/13  09:33:48.411612	-1.464717E+0
2024/10/13  09:33:48.411632	-1.421971E+0
2024/10/13  09:33:48.411652	-1.336478E+0
2024/10/13  09:33:48.411672	-1.336478E+0
2024/10/13  09:33:48.411692	-1.379225E+0
2024/10/13  09:33:48.411712	-1.336478E+0
2024/10/13  09:33:48.411732	-1.379225E+0
2024/10/13  09:33:48.411752	-1.250986E+0
2024/10/13  09:33:48.411772	-1.250986E+0
2024/10/13  09:33:48.411792	-1.250986E+0
2024/10/13  09:33:48.411812	-1.250986E+0
2024/10/13  09:33:48.411832	-1.250986E+0
2024/10/13  09:33:48.411852	-1.122747E+0
2024/10/13  09:33:48.411872	-1.165493E+0
2024/10/13  09:33:48.411892	-1.165493E+0
2024/10/13  09:33:48.411912	-1.165493E+0
2024/10/13  09:33:48.411932	-1.165493E+0
2024/10/13  09:33:48.411952	-1.080000E+0
2024/10/13  09:33:48.411972	-1.037254E+0
2024/10/13  09:33:48.411992	-1.037254E+0
2024/10/13  09:33:48.412012	-1.037254E+0
2024/10/13  09:33:48.412032	-1.080000E+0
2024/10/13  09:33:48.412052	-9.517615E-1
2024/10/13  09:33:48.412072	-9.517615E-1
2024/10/13  09:33:48.412092	-9.517615E-1
2024/10/13  09:33:48.412112	-9.517615E-1
2024/10/13  09:33:48.412132	-9.090152E-1
2024/10/13  09:33:48.412152	-8.235226E-1
2024/10/13  09:33:48.412172	-8.235226E-1
2024/10/13  09:33:48.412192	-8.235226E-1
2024/10/13  09:33:48.412212	-8.235226E-1
2024/10/13  09:33:48.412232	-8.235226E-1
2024/10/13  09:33:48.412252	-6.952837E-1
2024/10/13  09:33:48.412272	-6.952837E-1
2024/10/13  09:33:48.412292	-7.380300E-1
2024/10/13  09:33:48.412312	-7.380300E-1
2024/10/13  09:33:48.412332	-7.380300E-1
2024/10/13  09:33:48.412352	-5.670448E-1
2024/10/13  09:33:48.412372	-6.097911E-1
2024/10/13  09:33:48.412392	-6.097911E-1
2024/10/13  09:33:48.412412	-6.097911E-1
2024/10/13  09:33:48.412432	-6.097911E-1
2024/10/13  09:33:48.412452	-4.815522E-1
2024/10/13  09:33:48.412472	-4.388059E-1
2024/10/13  09:33:48.412492	-4.815522E-1
2024/10/13  09:33:48.412512	-4.388059E-1
2024/10/13  09:33:48.412532	-4.388059E-1
2024/10/13  09:33:48.412552	-3.533133E-1
2024/10/13  09:33:48.412572	-3.533133E-1
2024/10/13  09:33:48.412592	-3.533133E-1
2024/10/13  09:33:48.412612	-3.533133E-1
2024/10/13  09:33:48.412632	-3.105670E-1
2024/10/13  09:33:48.412652	-2.678207E-1
2024/10/13  09:33:48.412672	-2.250744E-1
2024/10/13  09:33:48.412692	-2.250744E-1
2024/10/13  09:33:48.412712	-2.250744E-1
2024/10/13  09:33:48.412732	-2.250744E-1
2024/10/13  09:33:48.412752	-9.683546E-2
2024/10/13  09:33:48.412772	-9.683546E-2
2024/10/13  09:33:48.412792	-1.395818E-1
2024/10/13  09:33:48.412812	-9.683546E-2
2024/10/13  09:33:48.412832	-9.683546E-2
2024/10/13  09:33:48.412852	3.140344E-2
2024/10/13  09:33:48.412872	3.140344E-2
2024/10/13  09:33:48.412892	3.140344E-2
2024/10/13  09:33:48.412912	3.140344E-2
2024/10/13  09:33:48.412932	3.140344E-2
2024/10/13  09:33:48.412952	1.168960E-1
2024/10/13  09:33:48.412972	1.596423E-1
2024/10/13  09:33:48.412992	1.596423E-1
2024/10/13  09:33:48.413012	1.596423E-1
2024/10/13  09:33:48.413032	1.168960E-1
2024/10/13  09:33:48.413052	2.878813E-1
2024/10/13  09:33:48.413072	2.878813E-1
2024/10/13  09:33:48.413092	2.451350E-1
2024/10/13  09:33:48.413112	2.878813E-1
2024/10/13  09:33:48.413132	2.878813E-1
2024/10/13  09:33:48.413152	3.733739E-1
2024/10/13  09:33:48.413172	3.733739E-1
2024/10/13  09:33:48.413192	3.733739E-1
2024/10/13  09:33:48.413212	4.161202E-1
2024/10/13  09:33:48.413232	3.733739E-1
2024/10/13  09:33:48.413252	5.443591E-1
2024/10/13  09:33:48.413272	5.443591E-1
2024/10/13  09:33:48.413292	5.443591E-1
2024/10/13  09:33:48.413312	5.443591E-1
2024/10/13  09:33:48.413332	5.443591E-1
2024/10/13  09:33:48.413352	6.298517E-1
2024/10/13  09:33:48.413372	6.298517E-1
2024/10/13  09:33:48.413392	6.298517E-1
2024/10/13  09:33:48.413412	6.298517E-1
2024/10/13  09:33:48.413432	6.298517E-1
2024/10/13  09:33:48.413452	7.580906E-1
2024/10/13  09:33:48.413472	7.580906E-1
2024/10/13  09:33:48.413492	8.008369E-1
2024/10/13  09:33:48.413512	7.153443E-1
2024/10/13  09:33:48.413532	7.580906E-1
2024/10/13  09:33:48.413552	8.863295E-1
2024/10/13  09:33:48.413572	8.863295E-1
2024/10/13  09:33:48.413592	8.863295E-1
