waveform	Ch0	
t0	2024/10/13  09:35:37.895269	
delta t	2.000000E-5	

time[0]	Ch0
2024/10/13  09:35:37.895269	-1.421971E+0
2024/10/13  09:35:37.895289	-1.336478E+0
2024/10/13  09:35:37.895309	-1.336478E+0
2024/10/13  09:35:37.895329	-1.293732E+0
2024/10/13  09:35:37.895349	-1.336478E+0
2024/10/13  09:35:37.895369	-1.293732E+0
2024/10/13  09:35:37.895389	-1.208239E+0
2024/10/13  09:35:37.895409	-1.208239E+0
2024/10/13  09:35:37.895429	-1.250986E+0
2024/10/13  09:35:37.895449	-1.208239E+0
2024/10/13  09:35:37.895469	-1.165493E+0
2024/10/13  09:35:37.895489	-1.080000E+0
2024/10/13  09:35:37.895509	-1.080000E+0
2024/10/13  09:35:37.895529	-1.080000E+0
2024/10/13  09:35:37.895549	-1.080000E+0
2024/10/13  09:35:37.895569	-1.080000E+0
2024/10/13  09:35:37.895589	9.718221E-1
2024/10/13  09:35:37.895609	9.718221E-1
2024/10/13  09:35:37.895629	9.290758E-1
2024/10/13  09:35:37.895649	9.718221E-1
2024/10/13  09:35:37.895669	9.718221E-1
2024/10/13  09:35:37.895689	8.435832E-1
2024/10/13  09:35:37.895709	8.435832E-1
2024/10/13  09:35:37.895729	8.008369E-1
2024/10/13  09:35:37.895749	8.435832E-1
2024/10/13  09:35:37.895769	8.008369E-1
2024/10/13  09:35:37.895789	6.725980E-1
2024/10/13  09:35:37.895809	6.725980E-1
2024/10/13  09:35:37.895829	6.725980E-1
2024/10/13  09:35:37.895849	7.153443E-1
2024/10/13  09:35:37.895869	7.153443E-1
2024/10/13  09:35:37.895889	5.443591E-1
2024/10/13  09:35:37.895909	5.443591E-1
2024/10/13  09:35:37.895929	5.443591E-1
2024/10/13  09:35:37.895949	5.443591E-1
2024/10/13  09:35:37.895969	5.443591E-1
2024/10/13  09:35:37.895989	4.161202E-1
2024/10/13  09:35:37.896009	3.733739E-1
2024/10/13  09:35:37.896029	4.161202E-1
2024/10/13  09:35:37.896049	4.161202E-1
2024/10/13  09:35:37.896069	4.161202E-1
2024/10/13  09:35:37.896089	-2.678207E-1
2024/10/13  09:35:37.896109	-3.105670E-1
2024/10/13  09:35:37.896129	-2.678207E-1
2024/10/13  09:35:37.896149	-3.105670E-1
2024/10/13  09:35:37.896169	-2.678207E-1
2024/10/13  09:35:37.896189	-1.395818E-1
2024/10/13  09:35:37.896209	-1.395818E-1
2024/10/13  09:35:37.896229	-1.395818E-1
2024/10/13  09:35:37.896249	-1.395818E-1
2024/10/13  09:35:37.896269	-1.395818E-1
2024/10/13  09:35:37.896289	-1.134286E-2
2024/10/13  09:35:37.896309	-1.134286E-2
2024/10/13  09:35:37.896329	-1.134286E-2
2024/10/13  09:35:37.896349	-1.134286E-2
2024/10/13  09:35:37.896369	3.140344E-2
2024/10/13  09:35:37.896389	1.596423E-1
2024/10/13  09:35:37.896409	1.168960E-1
2024/10/13  09:35:37.896429	1.168960E-1
2024/10/13  09:35:37.896449	1.168960E-1
2024/10/13  09:35:37.896469	1.168960E-1
2024/10/13  09:35:37.896489	2.878813E-1
2024/10/13  09:35:37.896509	2.878813E-1
2024/10/13  09:35:37.896529	2.878813E-1
2024/10/13  09:35:37.896549	2.878813E-1
2024/10/13  09:35:37.896569	2.878813E-1
2024/10/13  09:35:37.896589	-3.960596E-1
2024/10/13  09:35:37.896609	-4.388059E-1
2024/10/13  09:35:37.896629	-3.960596E-1
2024/10/13  09:35:37.896649	-4.388059E-1
2024/10/13  09:35:37.896669	-4.388059E-1
2024/10/13  09:35:37.896689	-5.242985E-1
2024/10/13  09:35:37.896709	-5.242985E-1
2024/10/13  09:35:37.896729	-5.670448E-1
2024/10/13  09:35:37.896749	-5.670448E-1
2024/10/13  09:35:37.896769	-5.670448E-1
2024/10/13  09:35:37.896789	-6.952837E-1
2024/10/13  09:35:37.896809	-6.525374E-1
2024/10/13  09:35:37.896829	-6.952837E-1
2024/10/13  09:35:37.896849	-6.525374E-1
2024/10/13  09:35:37.896869	-6.952837E-1
2024/10/13  09:35:37.896889	-8.235226E-1
2024/10/13  09:35:37.896909	-8.235226E-1
2024/10/13  09:35:37.896929	-7.807763E-1
2024/10/13  09:35:37.896949	-8.235226E-1
2024/10/13  09:35:37.896969	-8.235226E-1
2024/10/13  09:35:37.896989	-9.517615E-1
2024/10/13  09:35:37.897009	-9.517615E-1
2024/10/13  09:35:37.897029	-9.517615E-1
2024/10/13  09:35:37.897049	-9.517615E-1
2024/10/13  09:35:37.897069	-9.517615E-1
2024/10/13  09:35:37.897089	1.057315E+0
2024/10/13  09:35:37.897109	1.057315E+0
2024/10/13  09:35:37.897129	1.100061E+0
2024/10/13  09:35:37.897149	1.057315E+0
2024/10/13  09:35:37.897169	1.057315E+0
2024/10/13  09:35:37.897189	1.185554E+0
2024/10/13  09:35:37.897209	1.185554E+0
2024/10/13  09:35:37.897229	1.185554E+0
2024/10/13  09:35:37.897249	1.185554E+0
2024/10/13  09:35:37.897269	1.185554E+0
2024/10/13  09:35:37.897289	1.313792E+0
2024/10/13  09:35:37.897309	1.271046E+0
2024/10/13  09:35:37.897329	1.313792E+0
2024/10/13  09:35:37.897349	1.271046E+0
2024/10/13  09:35:37.897369	1.313792E+0
2024/10/13  09:35:37.897389	1.399285E+0
2024/10/13  09:35:37.897409	1.399285E+0
2024/10/13  09:35:37.897429	1.399285E+0
2024/10/13  09:35:37.897449	1.399285E+0
2024/10/13  09:35:37.897469	1.399285E+0
2024/10/13  09:35:37.897489	1.484778E+0
2024/10/13  09:35:37.897509	1.484778E+0
2024/10/13  09:35:37.897529	1.484778E+0
2024/10/13  09:35:37.897549	1.527524E+0
2024/10/13  09:35:37.897569	1.484778E+0
2024/10/13  09:35:37.897589	-1.592956E+0
2024/10/13  09:35:37.897609	-1.635702E+0
2024/10/13  09:35:37.897629	-1.635702E+0
2024/10/13  09:35:37.897649	-1.635702E+0
2024/10/13  09:35:37.897669	-1.635702E+0
2024/10/13  09:35:37.897689	-1.721195E+0
2024/10/13  09:35:37.897709	-1.763941E+0
2024/10/13  09:35:37.897729	-1.721195E+0
2024/10/13  09:35:37.897749	-1.763941E+0
2024/10/13  09:35:37.897769	-1.721195E+0
2024/10/13  09:35:37.897789	-1.806688E+0
2024/10/13  09:35:37.897809	-1.806688E+0
2024/10/13  09:35:37.897829	-1.806688E+0
2024/10/13  09:35:37.897849	-1.806688E+0
2024/10/13  09:35:37.897869	-1.806688E+0
2024/10/13  09:35:37.897889	-1.892180E+0
2024/10/13  09:35:37.897909	-1.892180E+0
2024/10/13  09:35:37.897929	-1.934926E+0
2024/10/13  09:35:37.897949	-1.849434E+0
2024/10/13  09:35:37.897969	-1.892180E+0
2024/10/13  09:35:37.897989	-1.977673E+0
2024/10/13  09:35:37.898009	-1.977673E+0
2024/10/13  09:35:37.898029	-1.934926E+0
2024/10/13  09:35:37.898049	-1.977673E+0
2024/10/13  09:35:37.898069	-1.977673E+0
2024/10/13  09:35:37.898089	1.954987E+0
2024/10/13  09:35:37.898109	1.997733E+0
2024/10/13  09:35:37.898129	1.997733E+0
2024/10/13  09:35:37.898149	1.997733E+0
2024/10/13  09:35:37.898169	1.997733E+0
2024/10/13  09:35:37.898189	2.083226E+0
2024/10/13  09:35:37.898209	2.040480E+0
2024/10/13  09:35:37.898229	2.040480E+0
2024/10/13  09:35:37.898249	2.040480E+0
2024/10/13  09:35:37.898269	2.040480E+0
2024/10/13  09:35:37.898289	2.083226E+0
2024/10/13  09:35:37.898309	2.083226E+0
2024/10/13  09:35:37.898329	2.083226E+0
2024/10/13  09:35:37.898349	2.125972E+0
2024/10/13  09:35:37.898369	2.083226E+0
2024/10/13  09:35:37.898389	2.125972E+0
2024/10/13  09:35:37.898409	2.125972E+0
2024/10/13  09:35:37.898429	2.125972E+0
2024/10/13  09:35:37.898449	2.168719E+0
2024/10/13  09:35:37.898469	2.125972E+0
2024/10/13  09:35:37.898489	2.168719E+0
2024/10/13  09:35:37.898509	2.168719E+0
2024/10/13  09:35:37.898529	2.168719E+0
2024/10/13  09:35:37.898549	2.168719E+0
2024/10/13  09:35:37.898569	2.168719E+0
2024/10/13  09:35:37.898589	-2.191404E+0
2024/10/13  09:35:37.898609	-2.234151E+0
2024/10/13  09:35:37.898629	-2.234151E+0
2024/10/13  09:35:37.898649	-2.191404E+0
2024/10/13  09:35:37.898669	-2.234151E+0
2024/10/13  09:35:37.898689	-2.276897E+0
2024/10/13  09:35:37.898709	-2.234151E+0
2024/10/13  09:35:37.898729	-2.234151E+0
2024/10/13  09:35:37.898749	-2.234151E+0
2024/10/13  09:35:37.898769	-2.234151E+0
2024/10/13  09:35:37.898789	-2.234151E+0
2024/10/13  09:35:37.898809	-2.234151E+0
2024/10/13  09:35:37.898829	-2.234151E+0
2024/10/13  09:35:37.898849	-2.276897E+0
2024/10/13  09:35:37.898869	-2.234151E+0
2024/10/13  09:35:37.898889	-2.276897E+0
2024/10/13  09:35:37.898909	-2.234151E+0
2024/10/13  09:35:37.898929	-2.234151E+0
2024/10/13  09:35:37.898949	-2.234151E+0
2024/10/13  09:35:37.898969	-2.276897E+0
2024/10/13  09:35:37.898989	-2.234151E+0
2024/10/13  09:35:37.899009	-2.234151E+0
2024/10/13  09:35:37.899029	-2.234151E+0
2024/10/13  09:35:37.899049	-2.234151E+0
2024/10/13  09:35:37.899069	-2.191404E+0
2024/10/13  09:35:37.899089	2.168719E+0
