waveform	Source signal	
t0	2024/10/13  09:38:12.667506	
delta t	5.000000E-5	

time[0]	Source signal
2024/10/13  09:38:12.667506	-1.276269E+0
2024/10/13  09:38:12.667556	-1.361671E+0
2024/10/13  09:38:12.667606	-1.190867E+0
2024/10/13  09:38:12.667656	-1.190867E+0
2024/10/13  09:38:12.667706	-1.105465E+0
2024/10/13  09:38:12.667756	1.029585E+0
2024/10/13  09:38:12.667806	9.441829E-1
2024/10/13  09:38:12.667856	9.441829E-1
2024/10/13  09:38:12.667906	7.733789E-1
2024/10/13  09:38:12.667956	8.587809E-1
2024/10/13  09:38:12.668006	6.879769E-1
2024/10/13  09:38:12.668056	6.879769E-1
2024/10/13  09:38:12.668106	6.025749E-1
2024/10/13  09:38:12.668156	5.171729E-1
2024/10/13  09:38:12.668206	4.317709E-1
2024/10/13  09:38:12.668256	-4.222490E-1
2024/10/13  09:38:12.668306	-3.368471E-1
2024/10/13  09:38:12.668356	-3.368471E-1
2024/10/13  09:38:12.668406	-1.660431E-1
2024/10/13  09:38:12.668456	-1.660431E-1
2024/10/13  09:38:12.668506	4.760937E-3
2024/10/13  09:38:12.668556	4.760937E-3
2024/10/13  09:38:12.668606	1.755649E-1
2024/10/13  09:38:12.668656	1.755649E-1
2024/10/13  09:38:12.668706	2.609669E-1
2024/10/13  09:38:12.668756	-3.368471E-1
2024/10/13  09:38:12.668806	-4.222490E-1
2024/10/13  09:38:12.668856	-4.222490E-1
2024/10/13  09:38:12.668906	-5.076510E-1
2024/10/13  09:38:12.668956	-5.076510E-1
2024/10/13  09:38:12.669006	-6.784550E-1
2024/10/13  09:38:12.669056	-6.784550E-1
2024/10/13  09:38:12.669106	-7.638570E-1
2024/10/13  09:38:12.669156	-8.492590E-1
2024/10/13  09:38:12.669206	-1.020063E+0
2024/10/13  09:38:12.669256	9.441829E-1
2024/10/13  09:38:12.669306	1.029585E+0
2024/10/13  09:38:12.669356	1.029585E+0
2024/10/13  09:38:12.669406	1.200389E+0
2024/10/13  09:38:12.669456	1.200389E+0
2024/10/13  09:38:12.669506	1.285791E+0
2024/10/13  09:38:12.669556	1.285791E+0
2024/10/13  09:38:12.669606	1.371193E+0
2024/10/13  09:38:12.669656	1.371193E+0
2024/10/13  09:38:12.669706	1.541997E+0
2024/10/13  09:38:12.669756	-1.532475E+0
2024/10/13  09:38:12.669806	-1.617877E+0
2024/10/13  09:38:12.669856	-1.617877E+0
2024/10/13  09:38:12.669906	-1.703279E+0
2024/10/13  09:38:12.669956	-1.703279E+0
2024/10/13  09:38:12.670006	-1.788681E+0
2024/10/13  09:38:12.670056	-1.788681E+0
2024/10/13  09:38:12.670106	-1.874083E+0
2024/10/13  09:38:12.670156	-1.874083E+0
2024/10/13  09:38:12.670206	-1.959485E+0
2024/10/13  09:38:12.670256	1.969007E+0
2024/10/13  09:38:12.670306	1.969007E+0
2024/10/13  09:38:12.670356	2.054409E+0
2024/10/13  09:38:12.670406	2.054409E+0
2024/10/13  09:38:12.670456	2.054409E+0
2024/10/13  09:38:12.670506	2.139811E+0
2024/10/13  09:38:12.670556	2.139811E+0
2024/10/13  09:38:12.670606	2.139811E+0
2024/10/13  09:38:12.670656	2.139811E+0
2024/10/13  09:38:12.670706	2.225213E+0
2024/10/13  09:38:12.670756	-2.130289E+0
2024/10/13  09:38:12.670806	-2.215691E+0
2024/10/13  09:38:12.670856	-2.215691E+0
2024/10/13  09:38:12.670906	-2.215691E+0
2024/10/13  09:38:12.670956	-2.215691E+0
2024/10/13  09:38:12.671006	-2.215691E+0
2024/10/13  09:38:12.671056	-2.215691E+0
2024/10/13  09:38:12.671106	-2.215691E+0
2024/10/13  09:38:12.671156	-2.215691E+0
2024/10/13  09:38:12.671206	-2.215691E+0
2024/10/13  09:38:12.671256	2.225213E+0
2024/10/13  09:38:12.671306	2.225213E+0
2024/10/13  09:38:12.671356	2.225213E+0
2024/10/13  09:38:12.671406	2.139811E+0
2024/10/13  09:38:12.671456	2.139811E+0
2024/10/13  09:38:12.671506	2.054409E+0
2024/10/13  09:38:12.671556	2.139811E+0
2024/10/13  09:38:12.671606	2.054409E+0
2024/10/13  09:38:12.671656	2.054409E+0
2024/10/13  09:38:12.671706	2.054409E+0
2024/10/13  09:38:12.671756	-2.044887E+0
2024/10/13  09:38:12.671806	-1.959485E+0
2024/10/13  09:38:12.671856	-1.959485E+0
2024/10/13  09:38:12.671906	-1.874083E+0
2024/10/13  09:38:12.671956	-1.874083E+0
2024/10/13  09:38:12.672006	-1.788681E+0
2024/10/13  09:38:12.672056	-1.788681E+0
2024/10/13  09:38:12.672106	-1.703279E+0
2024/10/13  09:38:12.672156	-1.703279E+0
2024/10/13  09:38:12.672206	-1.617877E+0
2024/10/13  09:38:12.672256	1.627399E+0
2024/10/13  09:38:12.672306	1.541997E+0
2024/10/13  09:38:12.672356	1.541997E+0
2024/10/13  09:38:12.672406	1.371193E+0
2024/10/13  09:38:12.672456	1.371193E+0
2024/10/13  09:38:12.672506	1.285791E+0
2024/10/13  09:38:12.672556	1.285791E+0
2024/10/13  09:38:12.672606	1.200389E+0
2024/10/13  09:38:12.672656	1.200389E+0
2024/10/13  09:38:12.672706	1.029585E+0
2024/10/13  09:38:12.672756	-1.105465E+0
2024/10/13  09:38:12.672806	-9.346610E-1
2024/10/13  09:38:12.672856	-9.346610E-1
2024/10/13  09:38:12.672906	-8.492590E-1
2024/10/13  09:38:12.672956	-8.492590E-1
2024/10/13  09:38:12.673006	-6.784550E-1
2024/10/13  09:38:12.673056	-6.784550E-1
2024/10/13  09:38:12.673106	-5.930530E-1
2024/10/13  09:38:12.673156	-5.076510E-1
2024/10/13  09:38:12.673206	-4.222490E-1
2024/10/13  09:38:12.673256	3.463689E-1
2024/10/13  09:38:12.673306	2.609669E-1
2024/10/13  09:38:12.673356	2.609669E-1
2024/10/13  09:38:12.673406	1.755649E-1
2024/10/13  09:38:12.673456	1.755649E-1
2024/10/13  09:38:12.673506	4.760937E-3
2024/10/13  09:38:12.673556	4.760937E-3
2024/10/13  09:38:12.673606	-1.660431E-1
2024/10/13  09:38:12.673656	-1.660431E-1
2024/10/13  09:38:12.673706	-3.368471E-1
2024/10/13  09:38:12.673756	2.609669E-1
2024/10/13  09:38:12.673806	3.463689E-1
2024/10/13  09:38:12.673856	3.463689E-1
2024/10/13  09:38:12.673906	5.171729E-1
2024/10/13  09:38:12.673956	5.171729E-1
2024/10/13  09:38:12.674006	6.879769E-1
2024/10/13  09:38:12.674056	6.879769E-1
2024/10/13  09:38:12.674106	7.733789E-1
2024/10/13  09:38:12.674156	8.587809E-1
2024/10/13  09:38:12.674206	9.441829E-1
2024/10/13  09:38:12.674256	-9.346610E-1
2024/10/13  09:38:12.674306	-1.105465E+0
2024/10/13  09:38:12.674356	-1.105465E+0
2024/10/13  09:38:12.674406	-1.190867E+0
2024/10/13  09:38:12.674456	-1.190867E+0
2024/10/13  09:38:12.674506	-1.361671E+0
2024/10/13  09:38:12.674556	-1.361671E+0
2024/10/13  09:38:12.674606	-1.447073E+0
2024/10/13  09:38:12.674656	-1.447073E+0
2024/10/13  09:38:12.674706	-1.532475E+0
2024/10/13  09:38:12.674756	1.541997E+0
2024/10/13  09:38:12.674806	1.627399E+0
2024/10/13  09:38:12.674856	1.541997E+0
2024/10/13  09:38:12.674906	1.712801E+0
2024/10/13  09:38:12.674956	1.712801E+0
2024/10/13  09:38:12.675006	1.798203E+0
2024/10/13  09:38:12.675056	1.798203E+0
2024/10/13  09:38:12.675106	1.883605E+0
2024/10/13  09:38:12.675156	1.883605E+0
2024/10/13  09:38:12.675206	1.969007E+0
2024/10/13  09:38:12.675256	-1.959485E+0
2024/10/13  09:38:12.675306	-2.044887E+0
2024/10/13  09:38:12.675356	-2.044887E+0
2024/10/13  09:38:12.675406	-2.130289E+0
