freq,ch1
100,1.006
120,1.006
140,1.006
160,1.006
180,1.006
200,1.006
220,1.006
230,1.003
240,0.898
245,0.836
247,0.794
249,0.753
250,0.665
260,0.399
265,0.334
268,0.293
270,0.233
280,0.133
290,0.067
300,0.038
320,0.011
